City,State,State ID
Aaronsburg,Pennsylvania,PA
Abbeville,South Carolina,SC
Abbot,Maine,ME
Abbotsford,Wisconsin,WI
Abbott,Texas,TX
Abbottstown,Pennsylvania,PA
Abbyville,Kansas,KS
Abell,Maryland,MD
Abercrombie,North Dakota,ND
Aberdeen,Maryland,MD
Aberdeen Proving Ground,Maryland,MD
Abernant,Alabama,AL
Abernathy,Texas,TX
Abie,Nebraska,NE
Abilene,Texas,TX
Abingdon,Virginia,VA
Abington,Massachusetts,MA
Abiquiu,New Mexico,NM
Abita Springs,Louisiana,LA
Abrams,Wisconsin,WI
Absaraka,North Dakota,ND
Absarokee,Montana,MT
Absecon,New Jersey,NJ
Acampo,California,CA
Accident,Maryland,MD
Accokeek,Maryland,MD
Accomac,Virginia,VA
Accord,Massachusetts,MA
Accoville,West Virginia,WV
Ace,Texas,TX
Achille,Oklahoma,OK
Achilles,Virginia,VA
Ackerly,Texas,TX
Ackerman,Mississippi,MS
Ackley,Iowa,IA
Ackworth,Iowa,IA
Acme,Pennsylvania,PA
Acosta,Pennsylvania,PA
Acra,New York,NY
Acton,Massachusetts,MA
Acushnet,Massachusetts,MA
Acworth,New Hampshire,NH
Ada,Michigan,MI
Adah,Pennsylvania,PA
Adair,Iowa,IA
Adairsville,Georgia,GA
Adairville,Kentucky,KY
Adak,Alaska,AK
Adamant,Vermont,VT
Adams,Massachusetts,MA
Adams Basin,New York,NY
Adams Center,New York,NY
Adams Run,South Carolina,SC
Adamsburg,Pennsylvania,PA
Adamstown,Pennsylvania,PA
Adamsville,Rhode Island,RI
Addieville,Illinois,IL
Addington,Oklahoma,OK
Addis,Louisiana,LA
Addison,Maine,ME
Addy,Washington,WA
Addyston,Ohio,OH
Adel,Georgia,GA
Adelanto,California,CA
Adell,Wisconsin,WI
Adelphi,Ohio,OH
Adelphia,New Jersey,NJ
Adena,Ohio,OH
Adger,Alabama,AL
Adin,California,CA
Adirondack,New York,NY
Adjuntas,Puerto Rico,PR
Adkins,Texas,TX
Admire,Kansas,KS
Adna,Washington,WA
Adolphus,Kentucky,KY
Adona,Arkansas,AR
Adrian,Pennsylvania,PA
Advance,North Carolina,NC
Advent,West Virginia,WV
Afton,New York,NY
Agar,South Dakota,SD
Agat,Guam,GU
Agate,North Dakota,ND
Agawam,Massachusetts,MA
Agency,Iowa,IA
Agenda,Kansas,KS
Ages Brookside,Kentucky,KY
Agness,Oregon,OR
Agoura Hills,California,CA
Agra,Kansas,KS
Agua Dulce,Texas,TX
Aguada,Puerto Rico,PR
Aguadilla,Puerto Rico,PR
Aguanga,California,CA
Aguas Buenas,Puerto Rico,PR
Aguila,Arizona,AZ
Aguilar,Colorado,CO
Aguirre,Puerto Rico,PR
Ahmeek,Michigan,MI
Ahoskie,North Carolina,NC
Ahsahka,Idaho,ID
Ahwahnee,California,CA
Aibonito,Puerto Rico,PR
Aiea,Hawaii,HI
Aiken,South Carolina,SC
Ailey,Georgia,GA
Aimwell,Louisiana,LA
Ainsworth,Iowa,IA
Airville,Pennsylvania,PA
Airway Heights,Washington,WA
Aitkin,Minnesota,MN
Ajo,Arizona,AZ
Akaska,South Dakota,SD
